slug,name,date,dateEnd,dateDisplay,prefecture,region,location,tags,description,url,imageUrl,status
bizarreplants-outlet-vol5-2026,bizarreplants Outlet vol.5,2026-08-01,2026-08-01,2026.08.01,三重,東海,久居アルスプラザ 2Fカルチャールーム1,即売会,三重県津市の久居アルスプラザ2階カルチャールーム1で開かれるアウトレット販売会の第5回。2026年8月1日の11時から16時まで、7組が出店する。Grizzly Plantsはアガベに加え、カリフォルニア州西海岸の地形をデザインした3Dプリンター鉢と、シリアルナンバー入りで数量限定の新作ソイルスティックを持ち込む。Kevin Plantsはマダガスカル原産の塊根植物を実生と現地球の両方で扱い、パキポディウム・グラキリス、恵比寿大黒、ピグマエヤ、兜丸、オベサ、アデニウム、ステファニアが並ぶ。N forestは自身で胞子培養したビカクシダの子株とビカクフレーム。主催のかいこんにんげんは、アガベの普及種からイラン株、ハイブリッドまで幅広く用意する。ほかに編み物でつくる植物のJ.plants、植物を描く絵画のおずの細道、コーヒーを出すkonitanが出店する。,https://www.instagram.com/kaikon_ningen/,,past
mishou-circle-vol2-2026-08,実生サークル 第2回,2026-08-01,2026-08-02,2026.08.01-02,東京,関東,ギャラリー永谷1,即売会|展示会,吉祥寺のギャラリー永谷1で開かれる実生サークルの第2回。国内実生株の育成に関する情報共有をテーマに、趣味家・生産者・陶芸家が日替わりで参加し、サボテンやユーフォルビアなどの実生株と鉢・陶器を展示販売する。入場はお茶代として500円。,https://www.instagram.com/king.plants.slugger,,past
code-tokyo-popup-2026-08,CODE 単独東京POP UP,2026-08-01,2026-08-02,2026.08.01-02,東京,関東,ANTIDOTE OIMACHI TRACKS,即売会|塊根植物,福岡の塊根植物ブランドCODEによる初の単独東京POP UP。大井町のANTIDOTE OIMACHI TRACKSで、現地球のパキポディウム・グラキリスを中心とした珍奇植物とイベント限定の鉢・グッズを販売する。11時から19時、入場無料。,https://www.instagram.com/_code.official_/,https://static1.squarespace.com/static/5cf380f3c58b7d0001deb2f6/t/643377dd9ae6ab6d6fff8f4a/1681094621380/popap_cover.png?format=1500w,past
gunpari-gpf-kanshasai-2026-08,群パリ GPF感謝祭 2026,2026-08-01,2026-08-01,2026.08.01,群馬,関東,前橋サボテン団地,即売会,群馬のアガベ愛好グループ群パリ（GUNMA PARRY FREAKS）が前橋サボテン団地で開く感謝祭。前半はBBQ、後半は縁日が行われ、サボテン団地のハウスを一部開放して植物販売を実施する。,https://www.instagram.com/p/DaXx4jCSon5/,,past
kanzen-anjo-2026-08,間然（KAN-ZEN）,2026-08-01,2026-08-01,2026.08.01,愛知,東海,アンフォーレ ホール,即売会|塊根植物,オニバス株式会社主催、植物と鉢の展示販売イベント第2回。機能鉢「三州みやび鉢」の限定品と塊根植物を軸に、全国の有名ショップや陶芸作家13組が安城市のアンフォーレ ホールに集結する。テーマは「間（あわい）に然るまま佇む 命の造形」。11時から16時、入場無料・先着入場。,https://www.instagram.com/kanzen.event/,,past
paradise-garage-tomoya-farm-2026-08,Paradise Garage in TOMOYA FARM,2026-08-01,2026-08-02,2026.08.01-02,沖縄,九州,ともや農場ハウス,即売会|マルシェ,沖縄・中城村のいちご狩り農園「ともや農場」のハウスを会場に初開催される植物イベント。Otikiや安美園など県内外の植物出店者が集い、多肉植物やサボテンなどを展示販売する。農園の新たな取り組みとして注目の2日間。,https://www.instagram.com/tomoyafarm/,https://ak-d.tripcdn.com/images/0HJ4c12000itr2dxr4B49.jpg,past
saitama-saboten-club-summer-2026,埼玉サボテンクラブ 夏の大即売会,2026-08-02,2026-08-02,2026.08.02,埼玉,関東,むさしの村 さくらホール,即売会,1970年から続く会員制クラブ、埼玉サボテンクラブによる即売会。2026年8月2日の9時40分から15時まで、埼玉県加須市のむさしの村さくらホールで開かれる。入場無料で会員以外も購入でき、約70台分の無料駐車場がある。当日は8時から8時30分ごろに入場整理券が配布される予定。長谷川会長をはじめ約31名の会員・役員が出店し、普段は販売会に出ない趣味家も参加するため、サボテンと多肉植物の優良苗に加えて流通の少ない品種も並ぶ。13時からは誰でも参加できるサボテン争奪じゃんけん大会があり、出店者のコレクション株が放出される。クラブの代名詞である会報誌のバックナンバーも一部販売され、当日の新規入会も受け付ける。来場者には数量限定のノベルティが用意される。出店者同士の購入と取り置きは11時まで禁止で、来場者が先に選べる運用になっている。,https://www.instagram.com/saitamasabotenclub/,"https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_630,w_1200,f_auto,q_auto/1746059/AC1791A9-0115-4094-8B24-1CEA2568EC37.null",past
green-base-awaji-2026,GREEN BASE AWAJI 2026,2026-08-02,2026-08-02,2026.08.02,兵庫,関西,S BRICK 旧鐘紡工場跡赤レンガ倉庫,即売会,淡路島の洲本市にある赤レンガ倉庫S'BRICKで初めて開かれる植物販売イベント。2026年8月2日の11時30分から16時まで、12店舗が出店する。ssstudio0318、solus plants、n2 plants、hws plants、ing.plantsとアガベを扱う店が中心で、m4splantsは塊根植物とユーフォルビア、pst_sfはアガベとフィギュアを並べる。d_agave317とorange_plants2303は3Dプリンター製の鉢を持ち込む。植物以外ではヴィンテージ古着のtrags_vintage、レトロガラスのmirrors_usaが入り、ガラスコップに彫刻を入れるサンドブラストのワークショップも行われる。キッチンカーはpale_green.0799。15時からは各ブースを回りながらインスタグラムライブでオークションを実施し、来場者と配信の視聴者が同時に入札できる。,https://www.instagram.com/green_base_awaji/,,past
life-circle-world-2026-08,LIFE CIRCLE WORLD 2026,2026-08-02,2026-08-02,2026.08.02,福井,北陸,きらめきみなと館 大ホール,即売会|マルシェ,福井県敦賀市のきらめきみなと館大ホールで開かれる、植物とメダカの合同イベント。2026年8月2日の10時から16時まで。植物エリアとメダカエリアがそれぞれ20店舗規模で構成される。植物側はONE K PLANTS、bochi→BOCHI plants、魅惑の塊根屋、植物屋Dohraku、OMAME PLANTS、GOCCIA plants factory、勝明園、17 BOTANICAL BASE、TREE VALLEYなど22店が出店し、塊根植物や多肉植物のほか、MEMEのボタニカルギアやPOT.の3Dプリンター鉢も並ぶ。メダカエリアにも22店が入る。会場は室内で冷房が入っているため、真夏でも暑さを避けて見て回れる。駐車場は100台以上。飲食はキッチンカーの桃カフェがホットドッグを出し、ブース販売でジェリーD'sスマイルのポップコーン、ぬらりくらりのかき氷、島屋の海産物が並ぶ。,https://www.instagram.com/life_circle_world/,,past
kyoto-shaboten-club-manatsu-2026,京都シャボテンクラブ 真夏の納涼即売会,2026-08-02,2026-08-02,2026.08.02,京都,関西,六孫王会館,即売会,京都シャボテンクラブが六孫王会館1階で開く真夏の納涼即売会。2026年8月2日の11時から15時まで、クラブ員がサボテンと多肉植物を持ち寄って販売する。同クラブは毎月この会館で例会を開いており、即売会もその活動の一環にあたる。会場の駐車場は台数に限りがあるため、主催は乗り合わせか公共交通機関での来場を呼びかけている。買った株を持ち帰るためのマイカゴやマイバッグの持参と、会計を円滑にするための小銭の用意も案内されている。クラブは随時入会希望を受け付けており、非会員でも当日会費500円で例会に参加できる。8月の例会は22日18時から同会館で行われ、競作多肉植物をテーマにした苗談義と交換会が予定されている。なお交換苗の出品は会員に限られる。,https://kyotocactus.syuriken.jp/,,past
shokunetsu-festival-2nd-2026-08,灼熱の植熱祭 2026 2nd,2026-08-02,2026-08-02,2026.08.02,愛媛,四国,BJ PLANTS,即売会,愛媛県西条市の植物ショップBJ PLANTSが自店で開く即売会、灼熱の植熱祭の2026年第2弾。4月5日の第1回に続き、8月2日の14時から18時までの4時間で開催する。出店は7組。岡山からはBANKSIAが実生の塊根植物、BIZEN NO HACHIが植木鉢を持ち込む。香川からはドライガーデン向けの植物を扱うTSUKUMOと、レザークラフトのmako'sfactoryが参加する。地元愛媛からはアガベを扱うPEPEGREENとAGABASE330が出店し、西条市のCUP OF JOEがドリンクを出す。会場のBJ PLANTSは塊根植物とアガベ、植木鉢を扱う店で、通常の営業は14時30分から18時30分、月曜と火曜が定休日。即売会は夕方の時間帯に絞って行われる。,https://bjplants.stores.jp/,,past
chinki-plants-flea-market-2026-08,珍奇植物フリーマーケット（2026年8月）,2026-08-02,2026-08-02,2026.08.02,東京,関東,町田パリオ 4階,即売会|珍奇植物,東京都町田市の町田パリオ4階で開かれる珍奇植物専門のフリーマーケット。業者ではなく趣味で植物を育てる一般の出品者が主役で、乾燥地帯系から熱帯系まで幅広い珍奇植物と陶芸作家の鉢が並ぶ。,https://www.instagram.com/p/DaadPE4n23r/,,past
picnic-garden-vol23-takizawa-2026-08,PICNIC GARDEN vol.23 in ビッグルーフ滝沢,2026-08-02,2026-08-02,2026.08.02,岩手,東北,ビッグルーフ滝沢 小ホール,即売会|多肉植物,キングプランツ主催の多肉植物即売イベント第23回。岩手県滝沢市のビッグルーフ滝沢小ホールに東北・関東から10店舗が出店し、11時から16時まで多肉植物と関連物販を行う。,https://bigroof.jp/event/picnic_garden_20260802/,,past
sakura-night-marche-2026-08-02,ナイトマルシェ（さくら植物園）8月2日,2026-08-02,2026-08-02,2026.08.02,千葉,関東,さくら植物園,マルシェ|即売会,千葉県佐倉市のさくら植物園で16時から21時まで開かれる夏のナイトマルシェ。アガベやサボテンなどの植物販売に加え、キッチンカーやハンドメイド雑貨、ワークショップが並ぶ。,https://www.instagram.com/sakura_shokubutsuen/,,past
gamagori-taniku-festa-yatsugatake-2026-08,がまごおり多肉フェスタ in八ヶ岳,2026-08-02,2026-08-02,2026.08.02,長野,北陸,八ヶ岳農業大学校,即売会|マルシェ|多肉植物,"愛知・蒲郡発の人気多肉イベント「がまごおり多肉フェスタ」の八ヶ岳編。標高1,300mの八ヶ岳農業大学校に全国の多肉植物販売者が大集合し、ワークショップや寄せ植え体験、飲食・雑貨ブース、恒例の抽選会まで1日楽しめる。10時から15時。",https://www.instagram.com/gamagori_taniku_festa/,,past
kanaoka-midori-marche-2026-08,金岡みどりのマルシェ（2026年8月）,2026-08-05,2026-08-09,2026.08.05-09,大阪,関西,金岡公園体育館,即売会,大阪府堺市の金岡公園で開かれる植物マルシェの8月開催回。主催は大阪で盆栽、サボテン、多肉植物、山野草を生産販売する浦部陽向園で、金岡公園体育館の指定管理者である堺市教育スポーツ振興事業団とミズノグループの協力を得て、毎年恒例で開いている。会期は8月5日から9日までの5日間。時間は平日が9時から15時、土日が9時から16時。平日の5日から7日は浦部陽向園のみの出店で、8日と9日の土日は他の生産者も加わる。土日の出店者は芳明園、植物屋Dohraku、勝明園、8日のみのminor phyto!とcactus裕美園、9日のみのomame plants。7月に続く開催で、今回は出店者を増やしている。屋外開催のため悪天候の場合は休業することがあり、その際は主催のインスタグラムで告知される。,https://www.instagram.com/yokoen_tk/,,past
sakura-night-marche-2026-08-08,ナイトマルシェ（さくら植物園）8月8日,2026-08-08,2026-08-08,2026.08.08,千葉,関東,さくら植物園,マルシェ|即売会,千葉県佐倉市のさくら植物園で16時から21時まで開かれる夏のナイトマルシェ。マボプランツ、サボタニカル、スフェラベルデなどが出店し、アガベやサボテンの販売とワークショップを行う。,https://www.instagram.com/sakura_shokubutsuen/,,past
gooddays-homesic-mito-2026-08,GOOD DAYS POP UP（ホームシック スタイルショップ水戸店）,2026-08-08,2026-08-09,2026.08.08-09,茨城,関東,ホームシック スタイルショップ水戸店,即売会|塊根植物,塊根植物専門店GOOD DAYSとインテリアショップHOME SIC style shopのコラボ企画。水戸店の1階エリアと屋外で、10時半から18時まで塊根植物やアガベを家具・雑貨とあわせて展示販売する。,https://www.instagram.com/gooddays_plants/,,past
gunma-cactus-club-succulent-fair-2026-08,GUNMA CACTUS CLUB SUCCULENT FAIR 2026,2026-08-08,2026-08-08,2026.08.08,群馬,関東,高崎オーパ 7階,即売会|サボテン|多肉植物,1953年発足の老舗愛好会・群馬カクタスクラブによる2026年内最後の主催即売会。例年秋の開催を8月に前倒しし、県内外の若手からベテランまで幅広い出店者がサボテン・多肉植物・塊根植物のこだわりの株を持ち寄る。10時から16時、支払いは現金のみ。,https://www.instagram.com/gunmacactusclub/,,past
yamayama-menosyama-2026-08,YAMAYAMA｜山山,2026-08-08,2026-08-09,2026.08.08-09,東京,関東,MENOSYAMA,展示会|即売会,植物店・芽の巣山による合同特別企画展。陶芸家・安西岳郎と中川智治（ASHFIELD LABORATORY）の共作鉢を題材に、The One・園藝撮家 田口勇一郎・TAKATAKA・芽の巣山の4者が植物を植え込み、一つの景色として展示販売する。tresとTAKATAKA厳選の植物販売も。11時から17時。,https://www.instagram.com/menosyama_official/,,past
kyoto-midori-marche-natsumatsuri-vol2-2026-08,京都みどりのマルシェ 夏祭り vol.2,2026-08-09,2026-08-09,2026.08.09,大阪,関西,JR茨木駅東口駅前広場（いばらきスカイパレット）,マルシェ|即売会,京都みどりのマルシェが大阪府茨木市で開く夏の特別編。会場はJR茨木駅の駅前エントランスにあるいばらきスカイパレットで、2026年8月9日の15時から20時まで、夕方から夜にかけての時間帯で行われる。出店は15組。cactus M、Cactus Litch、nomura cactus、432plants、瑞豊とサボテンを扱う店が並び、魅惑の塊根屋、awn plants、bizarre plants 雅が塊根植物やビザールプランツを持ち込む。多肉植物ではBabyleaf plantsとたにくふぁーむが入り、たにくふぁーむは2ブースで出店する。ほかにサナケン、イチナナボタニカルベース、五佰壱植物、Yuan、主催のぺてぃのお店が加わる。駅に隣接した会場のため、電車での来場がしやすい。,https://www.instagram.com/midorino_marche/,,past
kagoshima-volcano-market-vol3-2026-08,KAGOSHIMA VOLCANO MARKET ボルマ vol.3,2026-08-09,2026-08-09,2026.08.09,鹿児島,九州,キラメキテラス（キラメキ南国ビル2F）,マルシェ|即売会,鹿児島市高麗町のキラメキ南国ビル2階で開かれるマーケットの第3回。2026年8月9日の10時から18時まで、入場無料。植物と鉢、コーヒー、古着を組み合わせ、暮らしとカルチャーの側面から植物に触れる構成をとっている。植物は8店で、鹿児島のKOBE AGAVE SHOPとsaku botanicalworks、福岡の井上さぼてん、SiLO BOTANICAL LiFE、earthwalk plants、movin plants、佐賀のcoco.plants、熊本のLiaと九州各県から集まる。鉢とギアは熊本のhappy come come、福岡のTHE SPOTとhinode.flowerpot、鹿児島のbronz bowl.。古着は鹿児島のBEERと、ディスコテックヴィンテージと染めアトリヱ地球屋の共同出店。コーヒーはjourney sip coffeeとLIMA COFFEE。,https://www.instagram.com/kagoshima_volcano_market/,,past
kumagaya-taniku-fes-2026-08,熊谷多肉フェス（2026年8月）,2026-08-09,2026-08-09,2026.08.09,埼玉,関東,熊谷ニットーモール イベント広場 1F/2F,即売会,埼玉県熊谷市の熊谷ニットーモールで開かれる多肉植物のフェス。2026年8月9日の10時から16時まで、1階と2階のイベント広場を会場に22組が出店する。1階にはRAINBOW CACTUS、錦玉園、plantsoyaji、jssブース、venusta1211、ゆりのきサキュレント、チャコの店、まりえタニク、HACHIYA MIYU&CHACHI、LEMON_BACHI、多肉のおうち、秘密結社白鯨、路地裏のギボウシが入り、ゆりのきサキュレントは2ブースで出店する。2階にはにっちプランツ、BLACK COMPANY、ONE K PLANTS、珍奇植物ぼっち植堂、Plants ate Michael、アデアデニウム、木水園、TOKOMA PLANTS、バイオゴールドが並ぶ。主催の熊谷フェスは埼玉県内の多肉植物愛好家や作家を集めたイベントを続けており、雑貨販売も取り入れた構成にしている。,https://www.nittohmall.com/event.html,,past
enichi-vol17-bizenya-2026-08,園日 Vol.17,2026-08-09,2026-08-09,2026.08.09,岡山,中国,備前屋 縁,即売会|マルシェ,岡山県倉敷市児島の古民家スペース「備前屋 縁」で開かれる園日シリーズ第17回。長野・関東・奈良・香川からのゲストと岡山の植物出店者、植物作家、庭師が集まり、キッチンカーなどの飲食出店も並ぶ。10時半から16時半。,https://www.instagram.com/banksia.111/,,past
plants-up-satsuma-2026-08,PLANTS UP SATSUMA,2026-08-11,2026-08-11,2026.08.11,鹿児島,九州,かんまちあ（上町の杜公園）,即売会|珍奇植物,"桜島を望む鹿児島市のかんまちあで開かれる植物カルチャーイベント。珍奇植物・多肉植物・塊根植物・ビカクシダに加え、作家鉢やアート展示、DJ、フードトラックが集まる。10時から先行入場1,000円、11時以降は入場無料。",https://www.instagram.com/p/DakTMN5hBhi/,,past
itakeru2-27gallery-2026,Botanical Art Exhibition「ITAKERU2」,2026-08-14,2026-08-30,2026.08.14-30,東京,関東,27 GALLERY TOKYO（東京都中央区日本橋本町3-2-12 日本橋小楼ビル202）,展示会,東京・日本橋の27 GALLERY TOKYOで開かれる、植物をテーマにした企画展の第2回。展示名は植樹の神である五十猛神にちなむ。作家によるアート鉢の展示に加えて、今回は生きた植物の展示販売も行う。営業は木曜15時から、金曜17時から、土曜13時から。最終日の8月30日は13時から18時まで。,https://www.instagram.com/27_gallery_tokyo/,https://www.tokyoartbeat.com/images/143215756-f1ead752-cee1-4c9c-9c92-d5f0c5bcfbe3.jpg,past
rare-foliage-sale-protoleaf-futako-2026,レア観葉植物販売会（Jolie Nursery）,2026-08-15,2026-08-30,2026.08.15-30,東京,関東,プロトリーフ二子玉川本店（東京都世田谷区）,即売会,園芸店プロトリーフの二子玉川本店で開かれる希少観葉植物の販売会。世界中から株を集めるJolie Nurseryが出店し、人気のレア種から気軽に育てられるミニポット株まで並ぶ。,https://www.protoleaf.com/?p=24060,https://www.protoleaf.com/wp-content/uploads/2026/06/HP_Jolie.png,past
shokusai-global-botanical-jam-2026-08,植祭 Global Botanical Jam 2026夏,2026-08-15,2026-08-16,2026.08.15-16,静岡,東海,ツインメッセ静岡 北館大展示場（静岡市駿河区）,即売会|アガベ|塊根植物,静岡市のツインメッセ静岡北館で開かれる植物イベント。2026年8月15日と16日の2日間、いずれも10時から16時までで、最終入場は15時30分。全国から130店舗以上の植物専門店が集まり、アガベ、サボテン、塊根植物、ビカクシダ、熱帯植物、多肉植物、植物雑貨が並ぶ。会場は室内で冷房が入っているため、お盆の時期でも暑さを避けて回れる。入場料は当日券800円、前売券600円で、中学生以下は無料。前売券はアソビューとローソンチケットで販売されている。ペットの同伴はできない。販売だけでなく、選び方や育て方を全国の出店者に直接聞ける場としても案内されている。主催は静岡第一テレビ、MALIBU GARDEN、スピリットボムの3者で、問い合わせは静岡第一テレビ事業部が平日10時から17時まで受け付けている。,https://www.instagram.com/global_botanical_jam/,,past
aqua-green-fes-enichi-2026-08,アクア＆グリーンフェス 縁日,2026-08-15,2026-08-15,2026.08.15,福岡,九州,道の駅 しんよしとみ,即売会,福岡県上毛町の道の駅しんよしとみで開かれるアクア＆グリーン系の縁日イベント。ベタ・金魚・メダカの販売と掬いに加え、アガベの販売やキッチンカー出店が行われる。9時から14時、雨天中止。,https://www.instagram.com/f.r.w.plants123/,,past
urin-no-ichi-2nd-2026-08,雨林ノ市 第貳陣,2026-08-15,2026-08-16,2026.08.15-16,大阪,関西,J:COM中央区民センター 2階ホール（大阪市中央区久太郎町1-2-27）,即売会|アロイド|珍奇植物,熱帯雨林植物に特化した即売会「雨林ノ市」の第2回。初陣に続き、アロイド・ブセファランドラ・ホマロメナなどの雨林植物に加え、第貳陣ではケーブバルブも扱う。会場はJ:COM中央区民センター2階ホール。主催は雨林ノ市実行委員会。,https://www.instagram.com/urinchi2026/,,past
botanical-evening-marche-oyabe-2026-08,BOTANICAL EVENING MARCHE,2026-08-16,2026-08-16,2026.08.16,富山,北陸,三井アウトレットパーク 北陸小矢部 南口芝生広場エリア（富山県小矢部市）,マルシェ,富山県小矢部市・三井アウトレットパーク 北陸小矢部の南口芝生広場で開かれる夕暮れの植物マルシェ。富山初開催で、北陸サボテンクラブ・浦部陽向園・多肉ランドcat companyなど15日は植物25店、16日は19店が出店し、飲食店も並ぶ。入場無料。,https://mitsui-shopping-park.com/mop/oyabe/event/3491823.html,,past
from-seed-to-landscape-2026,From seed to landscape,2026-08-16,2026-08-16,2026.08.16,東京,関東,カトーエンゲー東京,即売会|展示会,アガベ専門店カトーエンゲー東京を会場に開かれる1Dayイベント。7名の趣味家がそれぞれ実生苗を1トレー以上持ち込み、あわせてKonectの植木鉢なども販売される。展示は各出店者の親株・作り込み株・珍株で、販売分だけでなく育て上げた株を見られる構成。出店は diumer_club、kitamori1110、moriken0.02、tamakann、konect.tokyo、dobuzuke、katamari.28、blue.leaf333 の8者。主催は cosmicoplants。販売株数は各出店者とも多くないため、希少株やオリジナルハイブリッドの買い占めは主催者が控えるよう呼びかけている。会期中はカトーエンゲー東京の通常商品も購入できる。,https://www.instagram.com/p/DbYGBFgk-eK/,,past
rare-plants-dry-garden-festa-2026,Rare Plants & Dry Garden Festa 2026,2026-08-22,2026-08-30,2026.08.22-30,群馬,関東,Kayu style Botaniqa Atelier（群馬県邑楽郡千代田町福島190）,即売会|大型,"群馬県千代田町のKayu style Botaniqa Atelierで開かれる希少植物とドライガーデン素材の展示販売。約3ヘクタールの敷地にアガベ各種、ユッカ・ロストラータ、ブラックボーイ、古木オリーブ、オージープランツなど約20,000本が並ぶ。8月25日（火）は定休。ペット同伴可。",https://www.instagram.com/kayustyle_botaniqa_atelier/,https://www.atpress.ne.jp/attachments/GgJlT7i1LXbbHebFKS4a.jpg,past
botanical-yoichi-3rd-ebina-2026-08,ボタニカル夜市 3rd,2026-08-22,2026-08-23,2026.08.22-23,神奈川,関東,海老名駅前広場周辺,マルシェ,神奈川県海老名市で開かれるナイトマーケットの第3回。会場は海老名駅前西口の中心広場とプロムナードエビーロードで、2026年8月22日と23日の15時30分から20時まで。植物と音楽を軸に、アートやストリートカルチャーが交差する場をコンセプトに掲げ、今回はcrossing cultureをテーマにジャンルを超えた2日間として企画されている。入場は無料だが、ライブエリアと一部のコンテンツは有料。ビザールプランツの販売と並行して、両日ともスペシャルライブとライブペイントが行われる。後援は海老名市とFMヨコハマ、スペシャルサポートは小田急電鉄とresort_life_style。開催に向けたクラウドファンディングも実施されており、ライブ最前列に入れるVIP PASSや限定Tシャツ、タンブラーなどが返礼品に用意されている。,https://www.instagram.com/botanical_yoichi/,,past
botanical-night-market-kurashiki-2026-08,BOTANICAL NIGHT MARKET 2026,2026-08-22,2026-08-22,2026.08.22,岡山,中国,アリオ倉敷 屋外イベント広場・倉敷みらい公園,マルシェ|ナイトマーケット|即売会,岡山県倉敷市のアリオ倉敷 屋外イベント広場と倉敷みらい公園を会場に開かれるボタニカルナイトマーケット。盆栽・観葉植物・多肉植物などを扱う店が並ぶ夜市形式のイベント。主催はボタニカルナイトマーケット実行委員会。本ページの内容は主催者の当該回告知を確認しだい更新する。,https://kurashiki.ario.jp/event/2800008768,https://hread.home-tv.co.jp/wp-content/uploads/2025/08/20250812Ario_BotanicalMarket_1-e1755052623537.jpg,past
plant-guild-botanicbomb-2026-08,PLANT GUILD Powered by BOTANICBOMB,2026-08-22,2026-08-22,2026.08.22,京都,関西,17 BOTANICAL BASE（京都府福知山市岩井51）,即売会,京都府福知山市発の植物イベントBOTANICBOMBのスピンオフとして開かれるPOP UPイベント。会場は福知山市岩井の17 BOTANICAL BASE。合言葉は「交流」で、出店者と来場者の距離が近い小規模開催。,https://www.instagram.com/botanicbomb/,,past
minori-kaboku-cactus-agave-2026-08,サボテン・アガベ・多肉植物 展示即売会（みのり花木センター）,2026-08-22,2026-08-23,2026.08.22-23,栃木,関東,みのり花木センター インターパーク店（栃木県宇都宮市）,即売会|サボテン|アガベ,栃木県宇都宮市の大型ガーデンセンター、みのり花木センター インターパーク店で開催されるサボテン・アガベ・多肉植物の展示即売会。恒例のオークションは23日(日)13時から。初心者から上級者まで対象の品揃えで、店舗の告知どおり2日間の開催。,https://www.instagram.com/minori_kaboku_interpark/,,past
botanical-garden-plaza-hana-2026-08,BOTANICAL（ガーデンプラザ華 福島店）,2026-08-22,2026-08-23,2026.08.22-23,福島,東北,ガーデンプラザ華 福島店 B棟（福島県福島市成川字久保前11-1）,即売会|多肉植物,福島市のガーデンプラザ華 福島店B棟で開かれる多肉植物の販売会。キングプランツが両日出店し、22日はPLUMP PLANTと20000cc_potが加わる。同店では定期的に同名の販売会が開かれており、今回は2日間の開催。,https://www.instagram.com/gardenplazahana/,,past
green-summit-more-vol21-2026-08,Green Summit MORE vol.21,2026-08-23,2026-08-23,2026.08.23,宮城,東北,せんだい農業園芸センター みどりの杜,即売会|アガベ,東北みちのくサボテンクラブ主催の植物即売イベント。仙台市のせんだい農業園芸センターに10店舗が出店し、アガベ・塊根植物・サボテンを販売する。10時から15時、混雑時は9時配布の整理券による入場規制あり。,https://www.instagram.com/green_summit_touhoku/,,past
grow-jam-presents-01-soka-2026-08,GROW JAM PRESENTS 01,2026-08-23,2026-08-23,2026.08.23,埼玉,関東,TITANOTA BASE（埼玉県草加市西町1270-3）,即売会,埼玉県草加市・TITANOTA BASE（DINERS CAFE AND BAR）で開かれる同店初の植物イベント。1階テラスと2階スペースにアガベ・塊根植物・ビザールプランツを扱う8店舗が集まり、鉢や作家ものも並ぶ。入場無料、専用駐車場24台。,https://www.instagram.com/miyaki0415/,,past
myoko-taniku-market-bangaihen-2026-08,妙高多肉市場【番外編】,2026-08-23,2026-08-23,2026.08.23,新潟,北陸,フィールド妙高（道の駅あらい東側）,即売会|マルシェ,妙高多肉市場の番外編。通常回と同じ道の駅あらい東側エリアのフィールド妙高を会場に、多肉植物を中心とした出店が並ぶ一日開催。主催アカウントが出店者リストを公開済み。,https://www.instagram.com/_myoko_plants_market_/,,past
taniku-natsu-hanbaikai-hojo-2026-08,多肉植物 夏の販売会 in 道の駅ほうじょう,2026-08-23,2026-08-23,2026.08.23,鳥取,中国,道の駅ほうじょう 中庭テラス（鳥取県東伯郡北栄町国坂）,即売会|多肉植物,鳥取県東伯郡北栄町の道の駅ほうじょう・中庭テラスで開かれる多肉植物の販売会。屋外の中庭テラスに苗と鉢が並ぶ一日開催で、道の駅の通常営業とあわせて立ち寄れる。出店者はなごみ多肉ほか。,https://www.instagram.com/nagomitaniku/,,past
bota-no-natsuyasumi-2026,ボタの夏休み 2026,2026-08-24,2026-08-24,2026.08.24,東京,関東,千住本氷川神社 隣接会館 3階会議室,即売会,東京都足立区・北千住の千住本氷川神社右隣にある会館3階会議室で月曜に開催される室内植物即売会。土日に休めない人に向けた「ボタの市」「ボタニカル横丁」の姉妹企画で、灌木・ビザールプランツ系を中心とした5組が出店。涼しい室内でゆったり楽しめる。入場無料。,,,past
okinawa-chinki-plants-futako-2026,沖縄育ちの珍奇な植物店 vol.2,2026-08-28,2026-08-31,2026.08.28-31,東京,関東,二子玉川 蔦屋家電 2階（東京都世田谷区玉川1-14-1 二子玉川ライズS.C. テラスマーケット）,即売会,沖縄の農園で育った希少株を集めた植物イベントの第2回。強い日射しのもとで1年から10年かけて育てられた観葉植物や珍奇植物が並び、沖縄の陶芸家が手がけたやちむんの鉢もあわせて販売される。最終日の8月31日は16時閉場。,https://store.tsite.jp/futakotamagawa/event/POPUPSHOP/,,past
nangoku-de-night-vol2-2026,第2回 南国deナイト！,2026-08-29,2026-08-29,2026.08.29,愛知,東海,南国ちゃたん たにくった,即売会|ナイトマーケット,愛知県豊橋市東七根町の多肉植物・熱帯植物店、南国ちゃたん たにくったが自店の敷地内で開く夜のイベントの第2回。2026年8月29日の16時から21時まで。日が落ちてから多肉植物を見て回る多肉の夜のお祭りとして企画され、店の敷地にブースが並ぶ。出店者はインスタグラムで順次紹介されており、多肉屋ちんさん、MOSSMOSS Succulent、PAZAPA、とことこsucculent、SUCCULENT ピース、MOMOLAND、RolyPoly、TUBASUCCULENT、TKG-Plant、Nekottoねこっと、LIME. succulent、cat company、ブルゾンどりwithMK、4necoco、NB garden、BOSS.SUCCULENTと、多肉植物の生産者や専門店が中心。主催店の通常営業は週末の土日が中心で、7月と8月は15時から20時の営業となっている。,https://www.instagram.com/nangokuchatan_tanikutta/,,past
